điểm chất lượng,điểm phục vụ,điểm không gian,điểm giá cả,điểm vị trí,địa điểm,thời gian mở,thời gian đóng,khoảng giá,Tổng bình luận,bình luyện tuyệt vời,bình luận tốt,bình luận trung bình,bình luận kém,Tên nhà hàng
7.9,7.5,7.4,7.2,7.1,428 tây sơn quận đống đa hà nội,08:00,23:30,20.000đ - 50.000đ,193,31,112,33,17,tra-sua-saytea-tay-son
7.5,7.4,7.1,6.8,6.8,8 hoàng ngọc phách quận đống đa hà nội,06:00,21:00,30.000đ - 40.000đ,17,2,12,2,1,thuy-vit-ngan-vit-pho-co
8.3,8.2,8.1,7.9,7.2,tầng 5 vincom center nguyễn chí thanh 54a nguyễn chí thanh quận đống đa hà nội,09:00,22:00,100.000đ - 300.000đ,123,35,73,11,4,cowboy-jack-s-american-dining-vincom-center-nguyen-chi-thanh
7.9,7.9,7.7,7.7,7.1,b15 lương định của quận đống đa hà nội,14:00,19:00,6.000đ - 20.000đ,13,1,11,0,1,nom-bo-kho-do-an-vat-luong-dinh-cua
7.7,7.3,7.0,6.5,6.2,5 ngõ trung yên đinh liệt quận hoàn kiếm hà nội,07:00,17:00,15.000đ - 33.000đ,168,5,106,43,14,bun-ca-sam-cay-si
7.9,7.8,7.7,7.0,6.7,18b nhà thờ quận hoàn kiếm hà nội,08:00,23:00,30.000đ - 60.000đ,146,12,101,27,6,take-eat-easy-ice-cream-cafe
7.0,6.9,6.9,6.9,6.8,36 thanh niên tầng b1 times city 458 minh khai quận hai bà trưng hà nội,11:00,22:00,75.000đ - 255.000đ,36,0,25,7,4,bbq-plus-buffet-nuong-lau-han-quoc
10.0,10.0,8.2,8.2,7.4,tầng 2 19 nguyễn quang bích quận hoàn kiếm hà nội,17:00,01:00,100.000đ - 300.000đ,5,3,2,0,0,the-alchemist-cocktail-bar
,,,,,189 xã đàn p nam đồng quận đống đa hà nội,07:00,21:00,30.000đ - 66.000đ,,,,,,o-xuan-bun-bo-hue-xa-dan
7.0,6.9,6.8,6.4,6.0,4 ngõ 221 kim mã quận ba đình hà nội,10:00,20:00,35.000đ - 200.000đ,39,2,23,7,7,cece-box-ga-ran-han-quoc-online
7.8,7.6,7.4,7.3,7.1,3 thái phiên quận hai bà trưng hà nội,08:30,22:00,40.000đ - 72.000đ,378,15,295,62,6,botanica-cafe-resto-thai-phien
5.6,5.3,5.3,5.3,5.1,27a huỳnh thúc kháng quận đống đa hà nội,06:00,22:00,20.000đ - 33.000đ,16,0,6,3,7,pho-nho-huynh-thuc-khang
7.0,7.0,7.0,7.0,7.0,a1 thành công quận ba đình hà nội,08:00,21:00,20.000đ - 200.000đ,2,0,2,0,0,nguyen-thanh-nga-do-an-vat-online
7.7,7.7,7.7,7.5,7.5,tầng 5tầng 5 tttm hà nội centerpoint 85 lê văn lương quận thanh xuân hà nội,10:00,22:00,150.000đ - 300.000đ,47,5,36,3,3,hotpot-story-ha-noi-centerpoint
8.7,8.7,8.2,8.2,7.1,91a thợ nhuộm quận hoàn kiếm hà nội,08:00,22:00,100.000đ - 300.000đ,42,7,35,0,0,maison-marou-chocolate
8.4,8.0,7.9,7.7,7.3,74 nguyễn chí thanh quận đống đa hà nội,09:00,22:00,30.000đ - 70.000đ,35,6,25,4,0,tra-sua-heytea
7.3,7.1,7.1,7.0,7.0,b17 biệt thự pandora triều khúc quận thanh xuân hà nội,08:00,22:00,150.000đ - 300.000đ,74,9,50,5,10,nhat-lau
8.0,7.8,7.3,7.2,7.0,25 hoàng cầu quận đống đa hà nội,08:00,23:00,15.000đ - 50.000đ,48,2,37,9,0,koh-samui-hut-cafe-thai-deserts
7.8,7.8,7.5,7.3,7.3,51 nguyễn hữu huân quận hoàn kiếm hà nội,07:00,23:00,10.000đ - 50.000đ,4,0,4,0,0,51-cafe-nguyen-huu-huan
7.9,7.5,7.0,6.3,6.1,30 nguyễn thái học quận ba đình hà nội,10:00,14:00,25.000đ - 30.000đ,77,6,45,17,9,bun-ca-nguyen-thai-hoc
7.5,7.4,7.2,6.5,6.1,28 hàm long quận hoàn kiếm hà nội,08:00,21:30,20.000đ - 45.000đ,149,7,92,37,13,banh-mi-mr-xoay-ham-long
8.1,7.6,7.4,6.8,6.4,18 ngõ 1 âu cơ xóm chùa kim liên quận tây hồ hà nội,07:00,22:00,100.000đ - 500.000đ,27,3,17,3,4,maison-de-tet-decor-cafe-tu-hoa
7.5,7.1,7.0,6.8,6.7,22 nguyễn chí thanh quận ba đình hà nội,09:30,22:00,100.000đ - 600.000đ,102,3,62,31,6,king-dakgalbi-ga-xao-phomai
8.4,7.8,7.6,7.6,6.8,tầng 2 toà nhà yên hoà sunshine vũ phạm hàm quận cầu giấy hà nội,08:00,23:00,31.000đ - 69.000đ,136,15,104,12,5,soya-garden-vu-pham-ham
8.2,8.1,7.7,7.4,7.3,sh4 p11 park hill times city 458 minh khai quận hoàng mai hà nội,09:00,22:00,100.000đ - 300.000đ,43,7,31,4,1,minh-ky-dimsum-noodles-times-city
7.4,7.4,7.0,6.9,6.2,133 nguyễn chí thanh quận ba đình hà nội,07:30,22:30,25.000đ - 45.000đ,17,2,9,5,1,hao-cha-tra-sua-dai-loan
8.0,7.4,7.1,6.7,6.6,450 xã đàn quận đống đa hà nội,08:00,22:00,15.000đ - 250.000đ,156,7,100,44,4,banh-su-kem-chewy-junior-quoc-tu-giam
7.2,6.6,6.5,6.3,5.5,247 khâm thiên quận đống đa hà nội,08:00,23:00,15.000đ - 50.000đ,28,0,10,16,2,hai-tea-coffee
8.1,7.7,7.6,7.4,6.7,105 hàn thuyên tp thanh hóa thanh hoá,08:00,23:00,15.000đ - 30.000đ,7,1,4,2,0,che-ha-noi-han-thuyen
8.0,8.0,8.0,8.0,8.0,414 quôc lô 9 tp đông hà quảng trị,06:00,21:00,25.000đ - 25.000đ,1,0,1,0,0,pho-bo-ha-noi
9.0,9.0,8.5,8.0,7.5,134 phù liễn tp thái nguyên thái nguyên,09:00,22:00,20.000đ - 150.000đ,2,1,1,0,0,goc-ha-noi-minh-cau
7.2,7.1,6.9,6.7,6.4,66 tô hiến thành quận hai bà trưng hà nội,06:00,20:00,30.000đ - 60.000đ,173,6,107,45,15,banh-cuon-ba-hoanh
7.9,7.8,7.8,7.8,7.5,26b thọ xương phủ doãn quận hoàn kiếm hà nội,06:00,22:00,25.000đ - 40.000đ,67,23,27,11,6,banh-cuon-ba-hanh
9.0,8.0,8.0,8.0,8.0,111 đặng tiến đông quận đống đa hà nội,08:00,23:00,25.000đ - 100.000đ,1,0,1,0,0,3d-box-cafe-film-dang-tien-dong
8.0,8.0,8.0,8.0,7.0,61 bát sứ p hàng bồ quận hoàn kiếm hà nội,06:00,22:30,15.000đ - 33.000đ,1,0,1,0,0,61-cafe-bat-su
6.6,6.4,6.2,5.9,5.4,63 kim đồng quận hoàng mai hà nội,10:00,22:00,100.000đ - 250.000đ,14,2,6,0,6,a1-korean-bbq-beefsteak
10.0,10.0,10.0,9.0,7.0,56033 nguyễn văn cừ quận long biên hà nội,06:30,14:30,30.000đ - 50.000đ,1,1,0,0,0,am-thuc-dat-cang-bun-ca-bien
8.0,7.7,7.4,6.7,6.6,14b lò sũ quận hoàn kiếm hà nội,07:00,22:30,12.000đ - 50.000đ,9,2,4,1,2,an-bien-mon-ngon-hai-phong-lo-su
7.3,7.1,6.9,6.3,5.8,108 d5 trần thái tông quận cầu giấy hà nội,09:00,22:00,30.000đ - 500.000đ,39,1,23,9,6,an-bien-mon-ngon-hai-phong-tran-thai-tong
7.6,7.6,7.3,7.3,6.4,111 triệu việt vương quận hai bà trưng hà nội,07:00,22:00,40.000đ - 100.000đ,117,5,80,26,6,an-bien-mon-ngon-hai-phong-trieu-viet-vuong
7.0,7.0,6.0,6.0,6.0,5 đường thành tp lạng sơn lạng sơn,18:00,01:00,25.000đ - 50.000đ,1,0,0,1,0,an-dem-ha-noi-quynh-beo-bun-mien-nga-pho
7.8,7.7,7.7,7.0,6.5,33 ngõ 48 nguyễn khánh toàn quận cầu giấy hà nội,09:00,21:00,30.000đ - 150.000đ,15,5,5,3,2,an-vat-co-lep-shop-online
7.8,6.8,6.8,6.8,6.5,6 ngõ 94 trần đại nghĩa quận hai bà trưng hà nội,08:00,22:00,30.000đ - 100.000đ,4,0,3,0,1,an-vat-ngon-tran-dai-nghia
8.0,8.0,7.0,7.0,7.0,103c3 nghĩa tân quận cầu giấy hà nội,10:00,22:00,15.000đ - 50.000đ,1,0,1,0,0,an-vat-quan-nghia-tan
7.3,7.0,6.9,6.8,6.6,297 trần đại nghĩa quận hai bà trưng hà nội,09:00,22:00,30.000đ - 100.000đ,29,0,21,5,3,an-vien-chan-ga-rang-muoi-hai-san
7.6,7.2,7.2,7.2,7.0,10 lô 1b vũ phạm hàm quận cầu giấy hà nội,08:00,22:00,55.000đ - 95.000đ,48,7,26,9,6,ancombo-com-bo-guydon
8.0,7.9,7.9,7.7,6.8,14 ngõ 111 yên lãng quận đống đa hà nội,06:00,14:30,20.000đ - 35.000đ,12,2,8,1,1,bun-ngon-yen-lang
7.1,7.0,6.7,6.7,6.5,37 dương khuê quận cầu giấy hà nội,09:00,22:00,20.000đ - 200.000đ,30,10,9,4,7,anh-nguyen-thit-xa-xiu-ga-quay-da-gion
8.0,7.9,7.8,7.8,7.0,18 hồ tùng mậu quận cầu giấy hà nội,07:00,22:00,15.000đ - 250.000đ,8,0,7,1,0,anh-tu-bakery-ho-tung-mau
8.4,8.0,8.0,7.8,5.8,89 chùa láng quận đống đa hà nội,06:00,21:00,15.000đ - 30.000đ,5,0,5,0,0,anh-tuyet-banh-mi-doner-kebab
7.5,7.4,7.3,7.1,6.8,130a lạc trung quận hai bà trưng hà nội,07:00,20:30,50.000đ - 200.000đ,30,1,21,6,2,anna-steak-spaghetti
8.1,8.0,7.8,7.5,6.5,25 trần bình trọng quận hoàn kiếm hà nội,10:00,23:00,150.000đ - 1.000.000đ,17,1,14,1,1,au-lac-do-brazil
8.6,8.4,8.1,7.2,6.4,26 châu long quận ba đình hà nội,10:00,21:30,50.000đ - 500.000đ,19,3,14,1,1,nha-hang-chay-aummee-chau-long
8.1,7.8,7.3,7.2,7.0,16 bùi thị xuân quận hai bà trưng hà nội,06:30,14:00,50.000đ - 150.000đ,25,0,25,0,0,azumaya-am-thuc-nhat-ban
7.7,7.6,7.1,7.1,6.9,59 khương trung quận thanh xuân hà nội,08:00,23:00,20.000đ - 35.000đ,35,1,26,5,3,b59-coffee-khuong-trung
8.0,7.8,7.6,7.5,7.4,tầng 1 2 4 lô 13b trung hoà quận cầu giấy hà nội,00:01,23:59,140.000đ - 420.000đ,30,2,24,3,1,bachi-bachi-korean-style-thit-nuong-da
6.6,6.1,6.1,5.9,5.7,tầng 2 38 cầu giấy quận cầu giấy hà nội,08:00,22:00,50.000đ - 220.000đ,23,0,7,12,4,ba-hong-nem-tai-gio-cha
7.7,7.7,7.5,7.1,6.3,102 khâm thiên quận đống đa hà nội,16:00,23:00,6.000đ - 8.000đ,47,1,37,8,1,ba-loi-banh-mi-bo-nuong-mat-ong
7.3,7.1,6.5,6.2,6.0,31 quang trung quận hoàn kiếm hà nội,09:00,21:00,5.000đ - 30.000đ,112,1,55,46,10,ba-nga-thit-xien-nuong
6.9,6.4,6.2,6.2,5.9,104 c6 tô hiệu quận cầu giấy hà nội,06:30,21:00,30.000đ - 200.000đ,66,1,27,28,10,ba-teo-bun-pho-lau
7.7,7.5,6.8,6.4,6.2,11 hàng buồm quận hoàn kiếm hà nội,18:00,03:30,50.000đ - 110.000đ,39,0,24,13,2,pho-xao-bap-bo-hang-buom
7.7,7.3,6.9,6.6,6.3,95 hàng bồ p hàng bồ quận hoàn kiếm hà nội,08:00,23:00,15.000đ - 33.000đ,36,2,23,7,4,xoi-che-banh-troi
8.8,8.3,7.3,7.0,6.8,107b1 thành công quận ba đình hà nội,06:00,14:00,25.000đ - 35.000đ,4,0,3,1,0,ba-van-banh-cuon-dac-san-cao-bang
6.3,5.6,5.4,4.8,4.5,150 đội cấn quận ba đình hà nội,08:00,23:00,20.000đ - 100.000đ,12,1,2,4,5,ba-xa-dau-hu-doi-can
6.3,6.3,6.0,6.0,5.5,440 xã đàn quận đống đa hà nội,10:00,21:30,300.000đ - 550.000đ,4,0,3,0,1,son-dong
8.0,7.8,7.5,6.7,6.1,5 lô tt3 kđt sông đà mỹ đình mễ trì quận nam từ liêm hà nội,08:00,22:00,150.000đ - 500.000đ,59,2,44,9,4,baek-jeong-thit-nuong-han-quoc
7.4,7.2,6.9,6.7,6.6,28 duy tân quận cầu giấy hà nội,06:30,22:00,15.000đ - 30.000đ,11,3,4,1,3,bami-bread-duy-tan
7.5,7.5,7.4,7.4,6.6,128 giảng võ quận đống đa hà nội,07:00,22:30,15.000đ - 25.000đ,139,9,91,35,4,bami-bread-giang-vo
7.9,7.7,7.6,7.6,6.9,98 hàng bạc quận hoàn kiếm hà nội,06:30,22:30,16.000đ - 25.000đ,58,6,37,14,1,bami-bread-hang-bac
8.0,7.8,7.8,7.6,6.9,208 hoàng quốc việt quận bắc từ liêm hà nội,06:30,22:00,16.000đ - 25.000đ,64,7,49,8,0,bami-bread-hoang-quoc-viet
7.6,7.4,7.4,7.3,6.7,6 nguyễn thị định quận cầu giấy hà nội,06:30,22:30,16.000đ - 25.000đ,126,7,84,29,6,bami-bread-nguyen-thi-dinh
8.0,7.4,7.4,7.3,6.6,330 nguyễn trãi quận thanh xuân hà nội,06:30,22:30,15.000đ - 25.000đ,45,2,32,10,1,bami-bread-nguyen-trai
7.5,7.3,6.9,6.8,6.1,209 nguyễn văn cừ quận long biên hà nội,07:00,21:30,15.000đ - 30.000đ,12,0,9,2,1,bami-bread-nguyen-van-cu
7.0,6.9,6.7,6.6,6.5,189 tây sơn quận đống đa hà nội,06:30,22:30,15.000đ - 30.000đ,10,0,7,2,1,bami-bread-tay-son
8.4,7.9,7.8,7.8,7.3,135 trần đăng ninh quận cầu giấy hà nội,06:30,22:30,15.000đ - 30.000đ,10,1,7,2,0,bami-bread-tran-dang-ninh
7.7,7.6,7.6,7.3,6.5,88b trần hưng đạo quận hoàn kiếm hà nội,06:30,22:30,16.000đ - 25.000đ,97,5,63,24,5,bami-bread-tran-hung-dao
6.9,6.8,6.8,6.1,5.8,526 trần khát chân quận hai bà trưng hà nội,06:30,22:30,15.000đ - 25.000đ,36,0,21,9,6,bami-bread-tran-khat-chan
8.0,7.8,7.7,7.5,7.0,16 trần quốc vượng quận cầu giấy hà nội,,,19.000đ - 35.000đ,6,1,4,1,0,bamipm-fastfood-drink
7.7,7.6,7.2,6.7,6.5,115 k1 giảng võ quận ba đình hà nội,09:00,22:00,100.000đ - 300.000đ,70,2,49,14,5,bangkok-thai-cuisine-restaurant-giang-vo
7.7,7.5,7.3,7.1,6.3,38 đinh liệt quận hoàn kiếm hà nội,07:00,01:00,10.000đ - 60.000đ,42,7,24,6,5,banh-bao-banh-mi-bit-tet-dinh-liet
8.3,8.3,7.9,7.5,6.0,70 bạch mai quận hai bà trưng hà nội,07:00,23:00,3.000đ - 25.000đ,8,1,5,1,1,banh-bao-long-thanh
7.4,7.1,7.1,7.1,6.1,1b nguyên hồng quận ba đình hà nội,06:00,21:30,10.000đ - 15.000đ,141,9,92,25,15,banh-bao-nong-sua-xay-nguyen-hong
8.0,7.9,7.8,7.4,6.3,23 ngõ 181 xuân thủy chiều 10 ngách 74 ngõ 133 xuân thủy quận cầu giấy hà nội,08:00,19:00,10.000đ - 200.000đ,16,2,11,3,0,banh-bao-tai-ha-noi-shop-online
8.3,7.8,7.1,6.9,6.7,5 nghách 20 ngõ 159 hồng mai quận hai bà trưng hà nội,10:00,16:00,15.000đ - 30.000đ,33,3,22,6,2,banh-bot-loc-chan-nuoc-hong-mai
7.5,7.1,6.9,6.8,5.9,2b quang trung quận hoàn kiếm hà nội,08:00,22:00,30.000đ - 50.000đ,129,3,74,37,15,banh-canh-ghe-ut-coi
7.0,6.9,6.0,5.8,5.7,16 dốc hòe nhai p nguyễn trung trực quận ba đình hà nội,07:00,00:30,15.000đ - 30.000đ,23,0,12,7,4,banh-cuon-hoe-nhai
6.6,6.1,5.7,5.5,5.2,1118 láng hạ p láng hạ quận đống đa hà nội,06:00,21:30,30.000đ - 50.000đ,14,0,4,7,3,banh-cuon-gia-an-lang-ha
9.0,9.0,7.0,7.0,6.0,106 nhị hà tp nha trang khánh hoà,08:00,20:00,20.000đ - 20.000đ,1,0,1,0,0,banh-cuon-ha-noi
7.7,7.7,6.9,6.5,6.3,19 nguyễn bỉnh khiêm quận hai bà trưng hà nội,17:00,23:00,15.000đ - 33.000đ,70,4,47,14,5,banh-cuon-nong-nguyen-binh-khiem
7.2,7.1,6.8,6.5,6.1,14b bảo khánh quận hoàn kiếm hà nội,06:00,21:00,30.000đ - 39.000đ,21,0,13,7,1,banh-cuon-nong-my-van-than
7.5,7.3,7.0,6.8,6.5,61 nguyễn du quận hai bà trưng hà nội,07:00,00:00,20.000đ - 50.000đ,21,3,9,7,2,banh-cuon-nong-101-ba-trieu-xa-dan
8.2,7.8,7.8,7.3,5.7,64c đội cấn quận ba đình hà nội,06:00,20:00,20.000đ - 50.000đ,32,1,22,7,2,banh-cuon-nong-gia-truyen-doi-can
8.0,8.0,7.0,7.0,7.0,14b trần phú tp nha trang khánh hoà,07:00,21:00,20.000đ - 30.000đ,1,0,1,0,0,banh-cuon-nong-thanh-tri-ha-noi
6.6,6.5,6.4,6.2,6.0,đối diện 143 trung liệt quận đống đa hà nội,09:00,22:00,25.000đ - 55.000đ,22,0,9,12,1,banh-da-cua-pho-trung-liet
7.6,7.5,7.5,7.2,6.7,17 hàng chĩnh quận hoàn kiếm hà nội,11:00,15:00,25.000đ - 55.000đ,30,2,20,7,1,banh-da-tron-hang-chinh
8.0,8.0,8.0,8.0,8.0,tô hiến thành tp nha trang khánh hoà,06:00,10:00,10.000đ - 20.000đ,1,0,1,0,0,banh-day-bao-anh-dac-san-ha-noi
6.9,6.8,6.5,6.5,6.2,c4 tt trung tự phạm ngọc thạch quận đống đa hà nội,11:30,20:00,15.000đ - 25.000đ,18,1,10,4,3,banh-duc-nong-c4-trung-tu
8.2,7.9,7.4,6.8,6.5,108 b1 tt trung tự quận đống đa hà nội,15:00,19:00,15.000đ - 33.000đ,108,3,82,20,3,banh-duc-nong-trung-tu
7.6,7.3,6.5,6.2,5.7,8 ngõ 8b lê ngọc hân quận hai bà trưng hà nội,08:00,21:00,25.000đ - 30.000đ,212,2,114,77,19,mien-tron-le-ngoc-han
7.2,6.7,6.5,6.2,6.1,29 nhà chung quận hoàn kiếm hà nội,08:00,22:00,50.000đ - 200.000đ,71,3,36,18,14,cela-salad
8.2,8.0,8.0,7.8,7.4,20 đường thành quận hoàn kiếm hà nội,11:00,22:00,30.000đ - 300.000đ,14,1,12,0,1,cha-ca-an-ngu
8.8,8.0,8.0,7.4,7.1,115 nguyễn thái học quận đống đa hà nội,08:00,22:00,20.000đ - 100.000đ,25,1,21,3,0,ca-chep-cafe-bookstore
7.6,7.3,7.1,7.0,6.4,194 châu thị vĩnh tế quận ngũ hành sơn đà nẵng,11:00,22:30,8.000đ - 30.000đ,46,7,26,8,5,ca-ke-quan-an-vat-ha-noi
8.5,8.2,8.1,7.9,7.7,43 huỳnh thúc kháng quận đống đa hà nội,08:00,23:00,50.000đ - 500.000đ,15,0,15,0,0,cha-ca-ngu-long
7.4,7.2,6.7,6.7,6.7,97 đào tấn quận ba đình hà nội,08:00,22:00,25.000đ - 150.000đ,48,0,31,14,3,chatime-dao-tan
6.0,6.0,5.9,5.6,5.2,245 xã đàn quận đống đa hà nội,10:00,23:00,15.000đ - 33.000đ,209,12,79,60,58,che-bo
7.7,7.4,7.2,7.0,6.8,4 hàng cân quận hoàn kiếm hà nội,09:00,22:00,15.000đ - 22.000đ,202,10,136,49,7,che-bon-mua
8.0,7.6,7.0,6.6,5.9,138 đội cấn quận ba đình hà nội,08:00,23:00,30.000đ - 60.000đ,70,1,47,17,5,cabine-cafeteria-doi-can
7.6,7.2,6.9,6.7,6.3,8 ngõ 119 hồ đắc di quận đống đa hà nội,08:00,19:30,15.000đ - 30.000đ,10,0,6,4,0,che-hong-vinh
7.4,7.3,7.2,7.1,6.4,93 hàng bạc quận hoàn kiếm hà nội,07:30,23:30,8.000đ - 22.000đ,88,4,53,27,4,quan-che-ba-mai
7.7,7.6,7.6,7.6,7.6,9 nhà a ngõ 396 trương định p tương mai quận hoàng mai hà nội,10:00,20:00,30.000đ - 50.000đ,24,4,17,1,2,chen-san-ding
7.5,7.4,6.8,6.5,6.3,55 phố huế quận hai bà trưng hà nội,10:00,21:30,30.000đ - 55.000đ,207,3,131,58,15,com-123-pho-hue
8.2,7.8,7.7,7.3,7.1,3 ngõ 41 nguyễn chí thanh quận đống đa hà nội,07:00,22:00,20.000đ - 50.000đ,55,6,39,9,1,cafe-sach-dong-tay-nguyen-chi-thanh
7.1,7.1,6.7,6.7,6.6,101b d2 đặng văn ngữ quận đống đa hà nội,07:00,23:00,100.000đ - 300.000đ,214,5,129,63,17,cap-seafood-dang-van-ngu
7.7,7.7,7.4,7.2,6.6,tầng 5 vincom center 191 bà triệu quận hai bà trưng hà nội,09:00,22:00,150.000đ - 300.000đ,93,3,64,23,3,capricciosa-pasta-pizza-vincom-ba-trieu
5.8,5.4,5.1,4.5,3.5,102 c2 phạm ngọc thạch quận đống đa hà nội,06:00,22:00,30.000đ - 66.000đ,51,0,15,10,26,com-nieu-to-uyen
8.3,8.1,7.7,7.7,7.7,16 nguyễn siêu quận hoàn kiếm hà nội,10:00,21:30,30.000đ - 110.000đ,15,1,13,1,0,com-pho-co
8.1,7.9,7.6,7.2,6.3,304 kim ngưu quận hai bà trưng hà nội,08:00,21:00,10.000đ - 50.000đ,80,11,50,18,1,com-tam-ali
6.8,6.7,6.6,6.6,6.5,12 ngõ 16 huỳnh thúc kháng quận đống đa hà nội,09:30,21:30,35.000đ - 40.000đ,283,83,83,37,80,com-tam-hang
7.5,7.4,6.8,6.7,6.6,37h2 tập thể nguyễn công trứ quận hai bà trưng hà nội,08:00,22:00,10.000đ - 28.000đ,37,2,20,14,1,caramen-world-nguyen-cong-tru
7.3,7.1,6.9,6.7,6.4,162 thái thịnh quận đống đa hà nội,,,15.000đ - 33.000đ,46,0,27,18,1,caramen-world-thai-thinh
7.8,7.5,7.5,7.5,7.3,36 phó đức chính quận ba đình hà nội,09:00,23:00,100.000đ - 300.000đ,4,0,4,0,0,cay-quan-lau-cac-mon-nhau
7.0,6.2,6.1,5.4,4.7,2445 kim đồng quận hoàng mai hà nội,10:00,23:00,50.000đ - 165.000đ,25,1,5,13,6,cay-sung-quan-nuong
8.0,8.0,8.0,8.0,8.0,28 duy tân quận cầu giấy hà nội,06:00,20:00,25.000đ - 110.000đ,1,0,1,0,0,cha-ca-ha-thanh
7.7,7.7,7.7,7.6,7.5,32 nguyễn văn huyên quận cầu giấy hà nội,09:30,21:30,50.000đ - 300.000đ,117,9,88,12,8,cha-ca-ha-thanh-nguyen-van-huyen
7.6,6.7,6.6,6.4,6.2,1 bt1 kđt resco phạm văn đồng quận bắc từ liêm hà nội,06:00,22:00,28.000đ - 50.000đ,11,0,8,1,2,container-kafe
8.6,7.9,7.5,7.2,6.3,24 hòa mã quận hai bà trưng hà nội,08:00,23:00,20.000đ - 60.000đ,212,13,164,33,2,cora-cafe-hoa-ma
9.8,9.6,9.6,9.4,9.1,tầng 1 khách sạn hà nội e central 18 lò sũ quận hoàn kiếm hà nội,11:00,22:00,70.000đ - 200.000đ,14,10,4,0,0,cha-ca-lang-ha-noi-e-central
8.6,8.6,8.5,8.3,8.0,29 nguyễn chí thanh quận ba đình hà nội,09:30,22:00,48.000đ - 300.000đ,22,10,10,2,0,cha-ca-vong-ngu-nguyen-chi-thanh
7.6,7.5,7.3,7.3,7.0,tầng 3 tttm savico long biên quận long biên hà nội,09:00,23:00,29.000đ - 45.000đ,121,6,94,14,7,cha-go-tea-caf-e
7.9,7.4,7.3,7.3,7.1,89 hàng buồm quận hoàn kiếm hà nội,08:00,23:00,30.000đ - 100.000đ,325,27,220,68,10,chago-tea-caf-e-hang-buom
8.7,8.0,7.5,7.0,6.4,2 nhà thờ quận hoàn kiếm hà nội,08:00,23:00,30.000đ - 65.000đ,149,11,111,22,5,eden-coffee
7.9,7.9,7.7,7.5,7.4,126 nguyễn chí thanh quận đống đa hà nội,11:30,22:30,30.000đ - 70.000đ,39,5,27,4,3,cha-go-tea-caf-e-nguyen-chi-thanh
7.7,7.5,7.4,7.1,7.0,378 nguyễn trãi quận thanh xuân hà nội,09:30,22:30,30.000đ - 100.000đ,55,7,33,9,6,cha-go-tea-caf-e-nguyen-trai
7.7,7.5,7.4,7.2,7.2,346 nguyễn văn cừ p ngọc lâm quận long biên hà nội,08:00,22:30,30.000đ - 100.000đ,31,2,24,3,2,cha-go-tea-caf-e-nguyen-van-cu
7.4,7.1,6.5,6.5,6.2,278 c1 tân mai quận hoàng mai hà nội,09:00,22:00,30.000đ - 100.000đ,38,3,20,7,8,cha-go-tea-caf-e-tan-mai
7.6,7.6,7.4,7.3,7.0,25 quang trung quận hoàn kiếm hà nội,10:00,22:00,25.000đ - 250.000đ,52,5,37,6,4,food-street
6.5,6.2,5.8,5.6,5.1,91c đặng văn ngữ p trung tự quận đống đa hà nội,07:30,22:30,25.000đ - 55.000đ,25,0,8,12,5,fun-cafe
6.8,6.5,6.3,6.1,5.6,18 ngõ 23 nguyễn văn lộc 18 dãy 16a4 làng việt kiều châu âu quận hà đông hà nội,08:00,23:00,50.000đ - 220.000đ,21,0,11,5,5,ga-36-ha-dong
6.9,6.7,6.5,6.1,5.7,44 trúc khê quận đống đa hà nội,08:00,23:00,50.000đ - 220.000đ,10,0,5,4,1,ga-36-truc-khe
8.1,7.6,7.2,7.1,7.1,ngõ 39 nguyễn hữu huân quận hoàn kiếm hà nội,07:00,22:30,15.000đ - 33.000đ,495,30,357,95,13,giang-cafe
8.0,7.7,7.4,7.2,7.0,142 bạch đằng tp nha trang khánh hoà,09:00,22:00,30.000đ - 150.000đ,19,6,7,4,2,goc-ha-noi
7.9,7.9,7.6,7.6,6.1,276 xã đàn quận đống đa hà nội,10:00,22:00,20.000đ - 200.000đ,22,6,12,3,1,hadu-sushi
7.9,7.7,7.2,7.0,6.6,72 cửa bắc quận ba đình hà nội,07:00,21:30,20.000đ - 50.000đ,67,7,41,17,2,hanh-ngan-de
8.1,7.7,7.6,7.4,6.9,15 ngõ 182 lương thế vinh quận thanh xuân hà nội,08:00,22:00,15.000đ - 150.000đ,21,7,8,3,3,chan-ga-bay-online
7.7,7.6,7.3,7.1,6.7,23 24 lương ngọc quyến quận hoàn kiếm hà nội,10:30,22:30,10.000đ - 200.000đ,80,2,64,13,1,chan-ga-hap-sa-ot-luong-ngoc-quyen
6.5,6.3,6.3,6.0,5.6,25 b13 tt kim liên ngõ 65 phạm ngọc thạch quận đống đa hà nội,15:00,23:59,20.000đ - 55.000đ,76,0,36,27,13,chan-ga-nuong-my-mieu
8.0,7.8,7.8,7.4,7.0,116 b1 trần hữu tước quận đống đa hà nội,07:00,00:00,10.000đ - 90.000đ,42,11,25,3,3,chan-ga-sa-ot-kham-thien-shop-online
8.2,8.1,8.1,7.5,7.4,19 ngách 77 ngõ 207 bui xương trach quận thanh xuân hà nội,09:00,22:30,50.000đ - 150.000đ,116,44,46,14,12,chan-ga-sa-ot-me-su-shop-online
8.2,7.7,7.0,7.0,6.4,đối diện ngõ 17 lê thanh nghị quận hai bà trưng hà nội,15:00,21:00,10.000đ - 30.000đ,31,0,23,8,0,chao-bach-khoa-le-thanh-nghi
